Customer ID;Churn Label;Churned;Account Length (in months);Local Calls;Local Mins;Intl Calls;Intl Mins;Intl Active;Intl Plan;Extra International Charges;Customer Service Calls;Avg Monthly GB Download;Unlimited Data Plan;Extra Data Charges;State;Phone Number;Gender;Age;Under 30;Senior;Group;Number of Customers in Group;Device Protection & Online Backup;Contract Type;Payment Method;Monthly Charge;Total Charges;Churn Category;Churn Reason;Fecha de contacto;Fecha de ultima transaccion;Antigüedad del cliente (en meses);Segmento de cliente;Promedio mensual de gastos;Número de quejas o soporte;Método preferido de contacto;Descuento aplicado;Hobby;Favorite TV Show;Internal Notes
0105-WGRF;Yes;1;1;4;10;3;9;Yes;yes;0;5;5;0;0;DE;351-1389;Hombre;64;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;50;;Attitude;Attitude of service provider;2022-10-29;22/1/23;70;Alto;47,17974846;5;Email;FALSO;Gaming;Game of Thrones;No relevant issues
5404-YCCN;No;0;26;134;395,9;0;0;No;no;0;0;5;1;0;NV;238-9719;Female;24;Yes;No;Yes;2;Yes;  Month-to-Month   ;CREDIT CARD;14;;;;2022-07-07;13/10/22;20;Medio;15,1476103;5;Email;FALSO;Running;Stranger Things;No relevant issues
2999-UUCX;No;0;18;72;178,5;90;120.6;Yes;no;40,2;0;35;0;27;CO;404-4421;Female;33;No;No;No;0;Yes;  Month-to-Month   ;credit card;25;;;;2020/04/22;22/8/23;55;Alto;29,3187595;3;Teléfono;VERDADERO;Reading;Friends;No relevant issues
8401-RNML;Yes;1;6;44;69;24;84.6;Yes;no;21,2;1;6;1;0;MN;236-3033;Hombre;48;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;47;;Dissatisfaction;Service dissatisfaction;2023-09-13;26/12/22;72;Bajo;38,69992367;10;Email;FALSO;Running;Game of Thrones;No relevant issues
6022-NREL;No;0;11;76;165,3;44;100.1;Yes;no;25;0;2;1;0;IA;253-2758;Female;38;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;27;;;;2023/10/12;23/3/23;40;Medio;26,08775178;2;Email;VERDADERO;Reading;Friends;No relevant issues
0858-IRKT;No;0;1;5;14;0;0;No;no;0;0;0;0;0;DC;399-6786;Hombre;29;Yes;No;Yes;6;No;  Month-to-Month   ;CREDIT CARD;9;;;;2022-11-20;5/1/22;102;Medio;8,911059488;2;SMS;FALSO;Gaming;Game of Thrones;No relevant issues
7535-ZUIK;Yes;1;11;33;88,8;110;85.8;Yes;no;28,6;3;6;0;59;IL;372-1115;Female;51;No;No;No;0;No;  Month-to-Month   ;direct debit;51;;Price;Price too high;2022-03-24;22/1/22;100;Medio;43,52348558;6;Teléfono;VERDADERO;Gaming;Game of Thrones;No relevant issues
5563-RPPX;No;0;12;82;184,9;0;0;No;no;0;0;6;0;42;VT;303-10085;Female;32;No;No;No;0;No;  Month-to-Month   ;direct debit;45;;;;2020-12-22;22/7/23;84;Alto;43,92526085;0;SMS;FALSO;Running;Breaking Bad;No relevant issues
4723-WBYR;No;0;11;32;68,4;44;128.7;Yes;no;42,9;0;19;0;32;KS;295-9509;Female;45;No;No;Yes;2;No;  Month-to-Month   ;DIRECT DEBIT;21;;;;2021-09-13;1/2/20;119;Bajo;20,44731115;6;Email;FALSO;Reading;Friends;No relevant issues
5315-ZOMA;No;0;43;125;298,6;0;0;No;no;0;0;11;1;0;VA;353-3393;Female;62;No;No;No;0;No;  Month-to-Month   ;credit card;20;840;;;2022-01-11;26/4/22;90;Bajo;19,33408964;1;Teléfono;VERDADERO;Reading;Game of Thrones;No relevant issues
1908-BNLT;No;0;14;58;127,3;0;0;No;no;0;0;7;1;0;NE;353-6870;Female;48;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;35;502;;;2020/07/10;1/10/21;60;Medio;31,19875043;6;Email;FALSO;Reading;Breaking Bad;No relevant issues
8464-NQMR;No;0;1;7;15;4;13.9;Yes;no;2,8;0;1;1;0;ND;281-1850;Hombre;48;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;39;39;;;2021/12/06;3/12/22;47;Bajo;39,61518587;9;SMS;VERDADERO;Running;Game of Thrones;No relevant issues
8223-LEEH;No;0;65;221;777,3;0;0;No;no;0;0;4;1;0;NM;311-7504;Hombre;43;No;No;No;0;No;  Month-to-Month   ;credit card;29;1851;;;2020-01-30;20/5/21;67;Bajo;24,27075446;5;SMS;VERDADERO;Running;Game of Thrones;No relevant issues
2344-UQWB;Yes;1;21;86;166,4;63;210;Yes;no;70;0;9;1;0;TX;396-4254;Hombre;49;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;54;1116;Other;Don't know;2023-11-21;27/7/20;26;Alto;64,41949558;8;Email;VERDADERO;Gaming;Game of Thrones;No relevant issues
2869-AWES;No;0;34;193;439,8;136;418.2;Yes;no;104,6;0;8;1;0;AR;313-8944;Female;39;No;No;Yes;6;No;  One Year   ;CREDIT CARD;16;551;;;2022-01-10;11/10/21;64;Alto;13,28110197;10;Teléfono;FALSO;Cooking;Friends;No relevant issues
5402-NCHR;No;0;65;316;654,4;260;299;Yes;no;59,8;0;6;1;0;WV;350-1354;Female;33;No;No;Yes;5;No;  One Year   ;DIRECT DEBIT;38;2475;;;2020/06/15;10/11/23;88;Alto;42,17073303;1;Email;FALSO;Gaming;Stranger Things;No relevant issues
5387-AJUW;No;0;72;104;286,1;144;813.6;Yes;no;271,2;0;1;1;0;MN;330-2881;Female;77;No;Yes;No;0;No;  Two Year   ;CREDIT CARD;34;2445;;;2022-06-18;16/3/23;84;Alto;40,51931347;9;SMS;VERDADERO;Cooking;Stranger Things;No relevant issues
6943-SGZU;No;0;64;62;257,9;384;787.2;Yes;no;393,6;0;9;1;0;CO;408-3262;Hombre;38;No;No;Yes;4;No;  Two Year   ;credit card;16;1056;;;2021-02-16;17/9/20;56;Bajo;17,92796313;8;SMS;VERDADERO;Cooking;Stranger Things;No relevant issues
5105-NZKR;Yes;1;17;77;218,2;136;120.7;Yes;no;40,2;3;7;1;0;AL;339-5659;Female;54;No;No;No;0;Yes;  One Year   ;PAPER CHECK;19;325;Price;Price too high;2023-08-02;9/3/22;25;Alto;19,56233625;5;SMS;FALSO;Running;Friends;No relevant issues
4266-WJDZ;No;0;1;2;7;0;0;No;no;0;2;8;1;0;IL;382-6827;Hombre;32;No;No;No;0;No;  Month-to-Month   ;direct debit;24;24;;;2021-10-10;8/3/21;58;Alto;24,13736451;10;Teléfono;FALSO;Running;Stranger Things;No relevant issues
5060-YPQP;No;0;67;148;337,5;0;0;No;no;0;0;5;1;0;NJ;381-8203;Female;48;No;No;No;0;Yes;  One Year   ;CREDIT CARD;25;1674;;;2023-07-07;24/5/21;81;Bajo;24,7848545;0;Teléfono;FALSO;Running;Stranger Things;No relevant issues
8851-OSYK;No;0;1;4;10;0;0;No;no;0;0;1;0;4;MD;232-2778;Female;66;No;Yes;No;0;No;  Two Year   ;DIRECT DEBIT;34;34;;;2023/09/22;27/2/21;106;Alto;32,35706812;1;SMS;FALSO;Reading;Game of Thrones;No relevant issues
6870-XSYK;Yes;1;33;164;463,3;0;0;No;yes;0;5;8;0;37;ND;409-4671;Female;67;No;Yes;No;0;Yes;  Month-to-Month   ;DIRECT DEBIT;62;2045;Dissatisfaction;Product dissatisfaction;2022/06/01;21/6/21;119;Alto;71,70426287;5;SMS;VERDADERO;Reading;Breaking Bad;No relevant issues
7795-QKXX;Yes;1;11;41;109,8;84;277.2;Yes;no;92,4;1;10;1;0;UT;394-4520;Female;44;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;24;259;Competitor;Competitor had better devices;2021/07/01;9/3/22;100;Medio;21,58605198;5;Email;FALSO;Gaming;Game of Thrones;No relevant issues
3136-ZXPZ;No;0;22;53;201,8;0;0;No;no;0;0;0;0;0;IA;236-2022;Hombre;66;No;Yes;Yes;5;No;  Two Year   ;credit card;10;232;;;2020/05/26;24/1/22;68;Bajo;11,57381748;9;Teléfono;FALSO;Reading;Breaking Bad;No relevant issues
8173-IKVF;Yes;1;1;6;15;4;10.8;Yes;no;2,2;3;16;1;0;MD;283-6262;Hombre;22;Yes;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;32;32;Dissatisfaction;Product dissatisfaction;2021-04-02;25/1/20;66;Medio;32,82281282;6;SMS;VERDADERO;Running;Breaking Bad;No relevant issues
2753-FFDX;No;0;37;167;331,8;0;0;No;no;0;1;5;1;0;OK;391-8505;Female;44;No;No;No;0;No;  One Year   ;credit card;42;1564;;;2021-01-23;11/8/20;89;Alto;43,75149064;5;Teléfono;VERDADERO;Cooking;Game of Thrones;No relevant issues
2891-JRJM;No;0;1;5;14;3;13.3;Yes;no;2,7;0;7;0;5;VT;408-4911;Hombre;40;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;25;25;;;2020/09/02;16/1/21;103;Medio;24,33301447;8;SMS;FALSO;Cooking;Friends;No relevant issues
8198-RCTF;Yes;1;26;63;153,9;0;0;No;no;426,2;1;24;1;0;CA;355-2909;Female;27;Yes;No;No;0;Yes;  Month-to-Month   ;credit card;;741;Attitude;Attitude of support person;2020-05-19;18/12/22;110;Medio;29,52824154;5;Teléfono;FALSO;Running;Breaking Bad;No relevant issues
9785-HPXI;No;0;21;97;206,5;105;121.8;Yes;no;40,6;0;8;1;0;DC;355-5922;Female;67;No;Yes;Yes;2;No;  One Year   ;credit card;;492;;;2023/11/29;8/11/22;90;Bajo;27,07868179;7;SMS;VERDADERO;Gaming;Game of Thrones;No relevant issues
9187-XWPM;No;0;23;146;375,5;0;0;No;no;0;0;3;1;0;SD;412-1194;Female;68;No;Yes;No;0;No;  One Year   ;CREDIT CARD;;994;;;2020-07-15;16/9/22;47;Bajo;41,97255993;1;Teléfono;VERDADERO;Gaming;Friends;No relevant issues
4593-NSYD;No;0;66;516;1052,1;0;0;No;no;0;0;2;1;0;MT;352-5815;Female;80;No;Yes;No;0;Yes;  Two Year   ;direct debit;;1671;;;2021/09/19;4/3/23;41;Medio;26,74161713;1;Teléfono;FALSO;Reading;Stranger Things;No relevant issues
8009-FNBF;No;0;6;30;66;0;0;No;no;0;0;13;0;4;CT;345-2476;Female;21;Yes;No;No;0;Yes;  Two Year   ;paper check;;146;;;2023-03-11;13/5/22;71;Bajo;24,53474653;9;Teléfono;VERDADERO;Reading;Breaking Bad;No relevant issues
2066-QUMI;No;0;25;152;349,2;0;0;No;no;0;0;4;1;0;WI;379-7172;Hombre;58;No;No;No;0;No;  Month-to-Month   ;direct debit;;465;;;2023-03-13;2/12/22;19;Alto;20,59356739;4;SMS;FALSO;Reading;Breaking Bad;No relevant issues
7772-ASRX;Yes;1;1;2;8;0;0;No;yes;0;1;6;1;0;IN;355-6531;Hombre;62;No;No;No;0;No;  Month-to-Month   ;credit card;;48;Competitor;Competitor made better offer;2021/09/05;19/12/20;46;Alto;51,28498379;4;Email;VERDADERO;Running;Friends;No relevant issues
5522-UBVX;Yes;1;4;9;26,8;16;57.2;Yes;no;11,4;2;4;1;0;KS;309-6393;Hombre;58;No;No;No;0;No;  Month-to-Month   ;direct debit;;159;Dissatisfaction;Product dissatisfaction;2020/09/10;11/10/23;60;Bajo;44,53302586;8;Teléfono;VERDADERO;Reading;Breaking Bad;No relevant issues
2864-SYYI;No;0;52;256;622;156;691.6;Yes;no;138,3;0;0;0;0;PA;353-9998;Female;84;No;Yes;No;0;No;  One Year   ;DIRECT DEBIT;;614;;;2021-02-11;12/1/21;52;Bajo;13,07916529;6;Teléfono;FALSO;Cooking;Friends;No relevant issues
6464-TGQK;No;0;7;13;33,2;14;105.7;Yes;no;35,2;2;17;1;0;HI;388-1250;Female;25;Yes;No;No;0;No;  Month-to-Month   ;CREDIT CARD;;124;;;2023-07-30;5/1/23;6;Alto;19,20627153;10;Email;VERDADERO;Cooking;Breaking Bad;No relevant issues
4130-YGAL;Yes;1;16;91;242,3;148;384.8;Yes;no;192,4;3;2;1;0;WY;342-3519;Female;58;No;No;No;0;No;  Month-to-Month   ;paper check;;319;Price;Price too high;2023-08-14;5/12/20;18;Medio;23,26018481;6;Email;FALSO;Running;Breaking Bad;No relevant issues
4626-UYXA;No;0;34;126;338,2;0;0;No;no;0;0;17;0;0;AL;317-4570;Hombre;21;Yes;No;No;0;Yes;  Month-to-Month   ;credit card;;871;;;2023-09-26;17/7/20;18;Bajo;20,84945074;9;Email;FALSO;Running;Stranger Things;No relevant issues
2275-ODGH;No;0;71;376;778,9;0;0;No;no;0;0;11;0;58;TN;342-6886;Hombre;37;No;No;No;0;Yes;  Two Year   ;DIRECT DEBIT;;4025;;;2022/07/15;23/6/23;67;Bajo;46,69968983;0;SMS;VERDADERO;Cooking;Game of Thrones;No relevant issues
2339-RNOX;No;0;72;161;360,7;144;885.6;Yes;yes;0;0;11;1;0;NV;338-1027;Hombre;53;No;No;No;0;Yes;  Two Year   ;direct debit;;5129;;;2022-11-29;17/2/20;23;Bajo;80,23884287;1;Email;VERDADERO;Running;Stranger Things;No relevant issues
7878-EOSK;Yes;1;43;152;345,9;0;0;No;no;0;2;8;1;0;SD;337-5662;Hombre;50;No;No;No;0;No;  Month-to-Month   ;direct debit;;1248;Price;Lack of affordable download/upload speed;2021-10-29;8/2/23;70;Medio;32,10517981;10;Teléfono;VERDADERO;Gaming;Friends;No relevant issues
5901-COOE;No;0;63;185;440,3;0;0;No;no;0;0;0;0;0;MO;342-5854;Hombre;40;No;No;Yes;4;No;  One Year   ;CREDIT CARD;;778;;;2022/12/04;27/10/20;72;Bajo;12,84680661;5;SMS;FALSO;Cooking;Friends;No relevant issues
1539-AEIA;No;0;71;97;355,1;0;0;No;no;0;0;12;0;43;NY;278-7337;Female;63;No;No;No;0;Yes;  One Year   ;direct debit;;4297;;;2023-03-26;19/10/20;8;Alto;54,81326539;7;Email;FALSO;Gaming;Breaking Bad;No relevant issues
6807-LCED;No;0;70;405;1049;0;0;No;no;0;0;0;0;0;MS;417-4309;Female;28;Yes;No;Yes;2;No;  Two Year   ;DIRECT DEBIT;;622;;;2020/02/11;5/11/20;76;Bajo;8,598857349;4;Email;FALSO;Reading;Stranger Things;No relevant issues
0130-FUPM;No;0;48;382;762;192;556.8;Yes;yes;0;2;7;1;0;ID;315-6230;Hombre;32;No;No;No;0;Yes;  Two Year   ;DIRECT DEBIT;;1801;;;2023/03/16;22/2/22;33;Alto;37,57971934;6;Teléfono;VERDADERO;Cooking;Breaking Bad;No relevant issues
7995-AMPQ;No;0;29;57;143,4;0;0;No;yes;0;0;7;1;0;MD;294-3889;Hombre;67;No;Yes;No;0;No;  Two Year   ;CREDIT CARD;;1630;;;2022-01-12;18/5/22;14;Alto;68,1943429;7;SMS;VERDADERO;Reading;Game of Thrones;No relevant issues
7972-XKEQ;No;0;61;218;728,5;0;0;No;no;0;0;0;1;0;MT;291-8573;Female;59;No;No;No;0;No;  Two Year   ;DIRECT DEBIT;;1032;;;2021-01-26;5/7/20;71;Medio;17,16528056;1;Email;FALSO;Running;Friends;No relevant issues
9926-ZTQQ;Yes;1;13;55;142,5;0;0;No;no;0;0;1;1;0;CA;339-7602;Hombre;71;No;Yes;No;0;No;  Month-to-Month   ;DIRECT DEBIT;37;478;Competitor;Competitor had better devices;2023-10-29;15/7/21;18;Bajo;33,42990881;8;SMS;FALSO;Running;Game of Thrones;No relevant issues
3923-DZKT;No;0;22;120;154;110;169.4;Yes;no;33,9;0;0;0;0;MI;375-8934;Female;33;No;No;Yes;4;No;  Two Year   ;CREDIT CARD;9;187;;;2022/06/14;24/6/23;25;Bajo;8,381242406;7;Teléfono;VERDADERO;Reading;Friends;No relevant issues
2428-RJUE;Yes;1;1;5;11;0;0;No;yes;0;4;2;1;0;AL;410-5455;Hombre;40;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;29;29;Competitor;Competitor made better offer;2020/05/26;17/6/23;40;Medio;25,23401157;10;Teléfono;VERDADERO;Gaming;Stranger Things;No relevant issues
0630-JLCI;No;0;58;159;409,3;0;0;No;no;0;0;0;0;0;HI;355-4016;Hombre;30;No;No;No;0;No;  Two Year   ;direct debit;9;514;;;2021/06/03;16/6/23;65;Medio;10,22782507;2;Teléfono;VERDADERO;Gaming;Game of Thrones;No relevant issues
2765-ZVMY;Yes;1;31;81;183,2;0;0;No;yes;0;5;6;1;0;VT;400-3343;Hombre;32;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;35;1070;Competitor;Competitor made better offer;2023/10/19;18/10/23;57;Medio;28,25798791;9;Teléfono;VERDADERO;Reading;Stranger Things;No relevant issues
6963-QYLP;No;0;21;103;250,5;0;0;No;no;0;1;0;0;0;NH;407-3121;Female;43;No;No;No;0;No;  Two Year   ;CREDIT CARD;12;260;;;2020-07-19;3/2/21;105;Bajo;14,1392467;3;Email;FALSO;Reading;Friends;No relevant issues
4780-GXOW;No;0;20;79;160,3;0;0;No;no;0;2;1;1;0;UT;355-6422;Hombre;52;No;No;No;0;No;  Month-to-Month   ;paper check;26;528;;;2022-09-23;22/12/23;116;Alto;25,33879049;4;Teléfono;FALSO;Cooking;Friends;No relevant issues
4944-ODJP;Yes;1;3;6;12,5;0;0;No;no;0;5;15;1;0;KS;392-5605;Female;46;No;No;No;0;No;  Month-to-Month   ;DIRECT DEBIT;56;176;Competitor;Competitor had better devices;2022-04-11;25/1/20;7;Medio;54,96871825;8;SMS;FALSO;Gaming;Breaking Bad;No relevant issues
1772-EVXU;No;0;34;85;306,3;0;0;No;no;0;0;5;1;0;AZ;354-4445;Hombre;57;No;No;No;0;No;  Two Year   ;DIRECT DEBIT;44;1497;;;2023-09-15;21/8/20;95;Medio;42,66326988;9;Teléfono;VERDADERO;Reading;Game of Thrones;No relevant issues
9698-NOPI;No;0;70;150;350;0;0;No;no;0;1;1;0;15;SC;347-8151;Hombre;67;No;Yes;No;0;Yes;  Two Year   ;CREDIT CARD;33;2303;;;2020-09-19;17/9/22;114;Alto;28,97084506;5;Email;FALSO;Gaming;Friends;No relevant issues
6912-DSHN;No;0;56;108;282;168;716.8;Yes;yes;0;0;2;1;0;CT;416-9021;Hombre;44;No;No;No;0;Yes;  One Year   ;DIRECT DEBIT;56;3141;;;2023-02-12;26/8/21;69;Alto;58,66473451;4;SMS;FALSO;Reading;Game of Thrones;No relevant issues
2271-UUSG;No;0;62;120;248,8;0;0;No;no;0;0;9;1;0;UT;369-7331;Female;54;No;No;No;0;Yes;  Two Year   ;credit card;47;2938;;;2023/04/12;30/4/20;50;Alto;42,30511804;2;SMS;FALSO;Cooking;Friends;No relevant issues
3591-HZVD;Yes;1;8;36;72,8;32;92;Yes;no;46;2;13;1;0;VT;320-2988;Hombre;62;No;No;No;0;No;  Month-to-Month   ;paper check;27;217;Competitor;Competitor had better devices;2023/06/10;24/1/23;70;Medio;28,08899831;4;SMS;FALSO;Reading;Friends;No relevant issues
7127-DGRJ;Yes;1;13;16;52,1;0;0;No;no;0;4;4;1;0;MN;338-5881;Prefer not to say;39;No;No;No;0;No;  Month-to-Month   ;direct debit;35;450;Competitor;Competitor offered higher download speeds;2023-03-02;12/1/21;77;Medio;33,71569486;9;SMS;VERDADERO;Running;Friends;No relevant issues
1867-FBPS;No;0;60;210;537,5;0;0;No;no;0;0;0;0;0;AK;345-8237;Hombre;62;No;No;No;0;No;  Two Year   ;credit card;13;754;;;2023/04/11;14/3/20;116;Medio;13,97042386;7;Email;VERDADERO;Cooking;Friends;No relevant issues
0059-VIDI;No;0;23;63;161,9;0;0;No;no;0;0;9;1;0;WV;240-9747;Female;36;No;No;Yes;4;No;  One Year   ;CREDIT CARD;18;412;;;2021-06-16;23/5/23;4;Bajo;18,27902781;2;Teléfono;VERDADERO;Gaming;Game of Thrones;No relevant issues
1760-OQIZ;Yes;1;7;38;106,7;21;72.8;Yes;yes;0;0;4;1;0;NE;351-2928;Hombre;72;No;Yes;No;0;No;  Month-to-Month   ;credit card;35;234;Attitude;Attitude of service provider;2021/01/07;15/11/23;100;Alto;29,42748405;7;Teléfono;FALSO;Gaming;Stranger Things;No relevant issues
2227-PKXK;No;0;21;83;250,3;0;0;No;no;0;0;26;1;0;IN;254-7559;Hombre;25;Yes;No;No;0;No;  Month-to-Month   ;credit card;29;604;;;2023/07/20;10/7/21;118;Alto;34,30461136;5;SMS;VERDADERO;Gaming;Breaking Bad;No relevant issues
1621-QOEZ;No;0;2;3;8,5;0;0;No;no;0;1;0;0;0;MD;323-8199;Female;25;Yes;No;No;0;No;  One Year   ;CREDIT CARD;9;16;;;2022-06-09;18/12/21;106;Medio;10,19935035;7;Teléfono;VERDADERO;Reading;Breaking Bad;No relevant issues
5381-ELAT;No;0;71;355;853,6;0;0;No;no;0;0;6;1;0;AR;328-2982;Hombre;68;No;Yes;No;0;Yes;  Two Year   ;DIRECT DEBIT;50;3580;;;2021/09/15;23/11/23;89;Bajo;57,59952195;6;Teléfono;FALSO;Gaming;Stranger Things;No relevant issues
